# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.098039215686272607e-01,1.140195999622345880e+03,6.000000000000000000e+00,1.000000000000000000e+00,7.994399492306262118e+02,-2.334177246384733735e+03,5.116813735126025904e+02,-2.825228259337906707e+02,-3.533890379839638030e+01
7.599999999999999645e+00,-5.999999999999999778e-01,7.500000000000000000e-01,1.865677966101694896e+00,2.460195999860764005e+03,3.000000000000000000e+00,1.000000000000000000e+00,5.735696751625504248e+02,-1.924244095900892944e+03,1.072302258882357151e+01,-3.504462308044135739e+02,-7.475339967020563847e+01
7.400000000000000355e+00,-4.000000000000000222e-01,2.500000000000000000e-01,2.372759729835180131e+00,4.514380000114438189e+03,5.000000000000000000e+00,3.000000000000000000e+00,5.425900480129355401e+02,-1.840153998406701419e+02,8.513642412983872418e+02,-8.385451630734087303e+02,-6.336297433012756386e+01
6.750000000000000000e+00,-1.500000000000000000e+00,2.500000000000000000e-01,1.051223749237086391e+00,5.463269999265671686e+03,5.000000000000000000e+00,3.000000000000000000e+00,-4.787845538538712390e+03,9.788240237058317916e+01,7.074641675888657346e+02,-1.015691791383933833e+03,-6.819977564732479891e+01
7.000000000000000000e+00,4.000000000000000222e-01,8.000000000000000444e-01,3.891787498946067458e+00,7.768733000040056140e+03,1.600000000000000000e+01,1.000000000000000000e+00,-2.629395563186973050e+03,4.173683318646452562e+02,5.728194838568078922e+02,-1.026275067615627222e+03,-8.695021163163582401e+01
7.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.437974893454126768e-01,4.175926999330520630e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.595585730656091528e+02,-4.420466083638448822e+02,-3.196917529261220352e+02,-6.693903980562006382e+02,-1.278128370978244419e+02
7.799999999999999822e+00,5.999999999999999778e-01,8.000000000000000444e-01,2.616666666666667140e+00,3.862732000112533569e+03,1.000000000000000000e+01,0.000000000000000000e+00,3.334171507768487004e+02,3.997722848232604065e+03,1.721854700994216046e+03,-1.912472751520424254e+03,-1.033134869388835568e+02
7.500000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,3.761494252873560651e-01,3.926053998947145828e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.421809971448248007e+02,-5.867630629954778669e+02,-2.305652335257686332e+02,-6.389394181920190476e+02,-1.198946881818095704e+02
7.200000000000000178e+00,4.000000000000000222e-01,8.000000000000000444e-01,1.839823908553066323e+00,3.076067000865936734e+03,2.000000000000000000e+00,1.000000000000000000e+00,4.625532057960166981e+02,-9.914685899916933067e+02,5.958051490770495775e+02,-5.331752138125581268e+02,-5.856312464738322632e+01
7.500000000000000000e+00,-2.500000000000000000e-01,1.000000000000000000e+00,9.204771563797927714e-01,1.905506000041962807e+03,3.000000000000000000e+00,0.000000000000000000e+00,9.358291481219547450e+02,-1.671602457639109616e+03,3.977408680295867498e+02,-4.390739460849318334e+02,-5.844148812368162282e+01
6.799999999999999822e+00,-2.500000000000000000e-01,5.000000000000000000e-01,1.290924875988143095e+00,6.371679999589921863e+03,1.100000000000000000e+01,0.000000000000000000e+00,4.661906624639359364e+01,1.071581653572252662e+03,9.715420112220224382e+02,-1.159610116175175563e+03,-8.315844665644830513e+01
6.200000000000000178e+00,2.000000000000000111e-01,2.500000000000000000e-01,1.594963796068955997e+00,2.518294000864029385e+03,9.000000000000000000e+00,1.000000000000000000e+00,3.371763035569114209e+02,-1.840246014487984439e+03,5.348415069379705074e+02,-3.876368074872744387e+02,-8.573300038821191293e+00
7.599999999999999645e+00,8.000000000000000444e-01,1.000000000000000000e+00,8.432083948868669410e+00,1.157124001264572144e+03,5.000000000000000000e+00,5.000000000000000000e+00,9.210804977782388505e+02,-2.497733658516728156e+03,4.403054641297508738e+02,-2.409196896977767608e+02,-3.810929456368113222e+01
7.000000000000000000e+00,-1.000000000000000000e+00,7.500000000000000000e-01,1.384999388210544025e+00,1.103410999536514055e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.011860090972489161e+03,-1.553792168348550604e+03,5.631834269556296704e+02,-4.803700020245647693e+02,-5.145755289473291327e+01
6.799999999999999822e+00,4.000000000000000222e-01,5.999999999999999778e-01,1.536435485648659505e+00,6.149630000352858588e+03,5.000000000000000000e+00,1.000000000000000000e+00,-2.894684420578339541e+02,1.004834595780651171e+03,9.926648939104057945e+02,-1.110109353797351559e+03,-5.940614317391780475e+01
6.000000000000000000e+00,1.250000000000000000e+00,0.000000000000000000e+00,1.219349136498550257e+00,4.964636000633239746e+03,6.000000000000000000e+00,0.000000000000000000e+00,2.802615513850585671e+02,8.268824235688599629e+02,1.191526265681255381e+03,-1.081016536050694413e+03,-6.424853097973081617e+01
6.333333333333333037e+00,0.000000000000000000e+00,6.666666666666666297e-01,3.652146367631434298e+00,7.848391000509262085e+03,5.000000000000000000e+00,2.000000000000000000e+00,-1.485389713841388811e+03,8.083230871146248546e+02,1.134356665794998435e+03,-9.811618083130017567e+02,-2.467814995848947035e+01
7.400000000000000355e+00,-8.000000000000000444e-01,1.000000000000000000e+00,2.781768609619987842e+00,4.160105999946596057e+03,0.000000000000000000e+00,0.000000000000000000e+00,-3.713954598328582506e+02,-1.617340269368457484e+03,3.532172596556327449e+02,-4.776394911359786306e+02,-5.979777058738987705e+01
7.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.781862384261151178e+00,2.124881000280379340e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.096739605079254716e+02,-2.120877790362201267e+03,-9.019572528250261456e+00,-3.012033077154641205e+02,-7.222538243374988554e+01
6.833333333333333037e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.313559322033900800e-01,3.695925000429152533e+03,1.000000000000000000e+00,0.000000000000000000e+00,2.995313491311468397e+02,-8.981158163025605745e+02,8.429138115295302214e+02,-6.804154180470178517e+02,3.264054192711180917e+02
7.500000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,2.795413054819469778e+00,4.252372000455855414e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.432222635548188009e+03,-1.178886326012972859e+03,9.583023655366254161e+02,-6.806489366968576178e+02,2.186363782058083061e+01
6.000000000000000000e+00,-6.666666666666666297e-01,3.333333333333333148e-01,2.171394911469002764e+00,3.596706000089644476e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.118592282689161266e+02,-2.882431661127746452e+02,6.308720469621149505e+02,-7.869281419610597368e+02,-7.512452513855106417e+01
6.500000000000000000e+00,1.666666666666666297e-01,5.416666666666666297e-01,3.920914337889591206e+00,3.243630998849869229e+03,1.000000000000000000e+00,0.000000000000000000e+00,-7.577606564482022122e+02,-1.595481324388297935e+03,6.495302428089617024e+02,-5.183744165195561209e+02,-4.257144001047850423e+01
7.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,3.252331484009400309e-01,5.929435001611705047e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.571613885093629506e+02,2.431991324130651151e+02,9.948830794017271728e+02,-9.601921380267352788e+02,-6.346558965989822099e+01
7.000000000000000000e+00,3.333333333333333148e-01,1.000000000000000000e+00,2.204334432599636795e+00,3.935669001340867453e+03,2.000000000000000000e+00,1.000000000000000000e+00,-6.848508370540966439e+01,-9.930985744931424506e+02,7.093852435436130008e+02,-1.619174543800929769e+02,-4.190058377721383920e+01
7.400000000000000355e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.010556365092754039e+00,3.467677999973296664e+03,2.000000000000000000e+00,0.000000000000000000e+00,5.402340958389245316e+02,-6.031221500374134621e+02,9.041001009392371088e+02,-7.502445014030571429e+02,1.578701913125202339e+02
7.000000000000000000e+00,-3.333333333333333148e-01,1.000000000000000000e+00,2.176798524287764991e+00,7.138256998777392255e+03,7.000000000000000000e+00,0.000000000000000000e+00,-3.748755971330455850e+03,1.190726381067417606e+03,6.079948182196694688e+02,-1.201522955438249255e+03,-9.969412664408669400e+01
7.250000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.087876270560974801e+00,2.923716998815535135e+03,0.000000000000000000e+00,2.000000000000000000e+00,-1.075686751646811672e+03,-1.276776495647356796e+03,8.488541689534561101e+02,-6.187947898423841480e+02,-3.655655598589142841e+01
7.000000000000000000e+00,-8.000000000000000444e-01,5.999999999999999778e-01,2.255468979449457567e+00,1.097662000036238896e+04,1.000000000000000000e+00,0.000000000000000000e+00,-9.373828181408272258e+02,2.301247709003248474e+03,1.056795476911776404e+03,-1.088639431995895848e+03,5.619198958100660946e+01
