,model,period,days_prior,model_type,mse,rmse
1,lm,D,1,big,0.373896991525,0.611471169823
2,extra_trees,D,1,big,0.403566619683,0.635268934927
3,rf,D,1,big,0.380771490291,0.617066844265
4,gbr,D,1,big,0.37509517306,0.612450139244
5,svr,D,1,big,0.536503408364,0.732463929736
7,lm,D,1,indiv,44.1137506663,6.6418183253
8,extra_trees,D,1,indiv,0.463033129208,0.680465376935
9,rf,D,1,indiv,0.453344108757,0.673308331121
10,gbr,D,1,indiv,0.666841673003,0.816603742952
11,svr,D,1,indiv,0.421166751222,0.648973613656
13,lm,D,4,big,0.366607375136,0.60548111047
14,extra_trees,D,4,big,0.35057264476,0.592091753666
15,rf,D,4,big,0.355013736348,0.595830291566
16,gbr,D,4,big,0.366733404591,0.60558517534
17,svr,D,4,big,0.538850664862,0.734064482768
19,lm,D,4,indiv,65.4274949666,8.0887264119
20,extra_trees,D,4,indiv,0.456689930008,0.675788376645
21,rf,D,4,indiv,0.442907665482,0.665513084381
22,gbr,D,4,indiv,0.671118497634,0.819218223451
23,svr,D,4,indiv,0.412547543196,0.642298640195
25,lm,D,7,big,0.371830040742,0.609778681771
26,extra_trees,D,7,big,0.351588605469,0.592949074938
27,rf,D,7,big,0.353631572307,0.59466929659
28,gbr,D,7,big,0.390725244937,0.625080190805
29,svr,D,7,big,0.548443697329,0.740569846354
31,lm,D,7,indiv,108.86977861,10.4340681716
32,extra_trees,D,7,indiv,0.419605427698,0.64776957917
33,rf,D,7,indiv,0.417797091162,0.646372254326
34,gbr,D,7,indiv,0.527633762555,0.72638403242
35,svr,D,7,indiv,0.421974376032,0.649595548039
37,lm,180T,1,big,0.376871766349,0.613898824196
38,extra_trees,180T,1,big,0.345510576146,0.587801476815
39,rf,180T,1,big,0.359145955536,0.599287873676
40,gbr,180T,1,big,0.366748513502,0.605597649848
41,svr,180T,1,big,0.50287376244,0.709135926632
43,lm,180T,1,indiv,1952.24840363,44.1842551553
44,extra_trees,180T,1,indiv,0.420347676218,0.648342252377
45,rf,180T,1,indiv,0.406868818546,0.637862695685
46,gbr,180T,1,indiv,0.547550964308,0.739966867034
47,svr,180T,1,indiv,0.402219526977,0.634207794794
49,lm,180T,4,big,0.617636606467,0.785898598082
50,extra_trees,180T,4,big,0.331415231198,0.575686747457
51,rf,180T,4,big,0.343876523993,0.586409860075
52,gbr,180T,4,big,0.376522956089,0.613614664174
53,svr,180T,4,big,0.522224428915,0.722650973095
55,lm,180T,4,indiv,2.06473030149,1.43691694314
56,extra_trees,180T,4,indiv,0.417139428968,0.645863320655
57,rf,180T,4,indiv,0.40752219039,0.638374647359
58,gbr,180T,4,indiv,0.450966623281,0.671540485213
59,svr,180T,4,indiv,0.391311354182,0.625548842364
61,lm,180T,7,big,1.41580395716,1.18987560575
62,extra_trees,180T,7,big,0.341244372721,0.584161255752
63,rf,180T,7,big,0.349394413903,0.591095943061
64,gbr,180T,7,big,0.39733213591,0.630342871706
65,svr,180T,7,big,0.538880314447,0.734084677981
67,lm,180T,7,indiv,5.29703786567,2.30152946226
68,extra_trees,180T,7,indiv,0.442929398975,0.665529412554
69,rf,180T,7,indiv,0.408648138131,0.639255925378
70,gbr,180T,7,indiv,0.466606572992,0.683086065581
71,svr,180T,7,indiv,0.400925145147,0.633186501078
